"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"6977","p","f","y","e","f","f","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","d"
"6978","p","x","s","e","f","y","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","p"
"6979","p","x","s","n","f","f","f","c","n","b","t","b","k","s","w","w","p","w","o","e","w","v","l"
"6984","p","x","s","e","f","f","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","d"
"6990","e","b","s","n","f","n","a","c","b","n","e","b","s","s","o","o","p","n","o","p","n","c","l"
"6992","p","k","y","e","f","m","f","c","b","y","e","c","k","y","c","c","p","w","n","n","w","c","d"
"6993","p","k","y","e","f","y","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","l"
"6994","p","f","s","e","f","y","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","d"
"6995","e","k","s","n","f","n","a","c","b","y","e","b","s","s","o","o","p","o","o","p","o","c","l"
"6996","p","f","y","e","f","s","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","d"
"6998","e","k","f","w","f","n","f","w","b","p","e","b","k","s","w","w","p","w","t","p","w","s","g"
"7000","e","k","s","n","f","n","a","c","b","y","e","b","s","s","o","o","p","o","o","p","o","v","l"
"7001","p","k","y","e","f","s","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","d"
"7002","p","k","y","n","f","s","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","l"
"7003","p","k","s","e","f","s","f","c","n","b","t","b","k","s","w","w","p","w","o","e","w","v","p"
"7008","p","x","s","e","f","s","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","p"
"7009","e","k","s","g","f","n","f","w","b","w","e","b","s","k","w","w","p","w","t","p","w","s","g"
"7011","p","k","y","e","f","f","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","d"
"7014","p","f","s","n","f","f","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","p"
"7015","p","f","y","n","f","f","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","d"
"7016","e","k","s","g","f","n","f","w","b","p","e","b","s","k","w","w","p","w","t","p","w","s","g"
"7018","p","f","y","e","f","y","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","p"
"7019","p","x","s","e","f","f","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","d"
"7022","p","f","s","e","f","s","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","d"
"7023","e","f","s","g","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","v","p"
"7024","p","k","s","e","f","y","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","d"
"7026","e","k","s","n","f","n","a","c","b","y","e","b","s","s","o","o","p","n","o","p","b","c","l"
"7027","e","x","s","n","f","n","a","c","b","n","e","b","s","s","o","o","p","o","o","p","n","c","l"
"7028","p","k","y","e","f","s","f","c","n","b","t","b","k","s","w","w","p","w","o","e","w","v","l"
"7029","p","x","s","e","f","y","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","d"
"7030","p","x","s","n","f","s","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","d"
"7031","p","k","s","e","f","y","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","d"
"7032","p","x","s","n","f","y","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","l"
"7033","e","k","f","w","f","n","f","w","b","g","e","b","k","s","w","w","p","w","t","p","w","n","g"
"7037","e","x","s","n","f","n","a","c","b","n","e","b","s","s","o","o","p","o","o","p","o","v","l"
"7039","p","k","y","e","f","s","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","p"
"7040","e","k","f","w","f","n","f","w","b","p","e","b","s","s","w","w","p","w","t","p","w","n","g"
"7041","e","x","f","g","f","n","f","w","b","g","e","b","k","s","w","w","p","w","t","p","w","s","g"
"7043","p","k","y","n","f","y","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","d"
"7044","p","k","y","n","f","s","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","l"
"7046","p","f","y","e","f","y","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","p"
"7047","e","k","f","g","f","n","f","w","b","p","e","b","s","k","w","w","p","w","t","p","w","n","g"
"7048","p","f","y","e","f","s","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","d"
"7051","e","k","s","g","f","n","f","w","b","w","e","b","k","k","w","w","p","w","t","p","w","s","g"
"7052","e","b","s","n","f","n","a","c","b","y","e","b","s","s","o","o","p","n","o","p","y","c","l"
"7053","p","k","y","n","f","f","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","l"
"7054","p","x","s","n","f","s","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","p"
"7055","e","b","s","n","f","n","a","c","b","o","e","b","s","s","o","o","p","n","o","p","o","v","l"
"7058","p","k","s","e","f","s","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","l"
"7060","p","x","s","e","f","s","f","c","n","b","t","b","s","s","p","p","p","w","o","e","w","v","p"
"7061","p","x","s","e","f","y","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","d"
"7062","p","x","s","n","f","s","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","d"
"7063","p","k","y","n","f","y","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","d"
"7065","p","f","s","e","f","y","f","c","n","b","t","b","s","k","w","p","p","w","o","e","w","v","d"
"7066","p","x","y","n","f","m","a","c","b","w","e","c","k","y","c","c","p","w","n","n","w","c","d"
"7070","p","f","y","n","f","y","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","p"
"7071","p","k","s","n","f","s","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","p"
"7073","p","f","y","e","f","f","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","d"
"7074","e","f","s","c","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","y","p"
"7077","p","x","s","e","f","y","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","l"
"7080","e","f","s","n","f","n","a","c","b","y","e","b","s","s","o","o","p","n","o","p","n","c","l"
"7081","p","f","s","e","f","s","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","d"
"7086","p","x","s","e","f","y","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","l"
"7087","e","b","f","g","f","n","f","w","b","w","e","b","k","s","w","w","p","w","t","p","w","s","g"
"7090","e","k","f","g","f","n","f","w","b","g","e","b","s","s","w","w","p","w","t","p","w","n","g"
"7091","e","f","s","n","f","n","a","c","b","n","e","b","s","s","o","o","p","n","o","p","n","v","l"
"7094","p","f","s","n","f","f","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","l"
"7096","p","k","s","e","f","y","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","l"
"7097","p","k","y","n","f","y","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","p"
"7099","e","x","f","g","f","n","f","w","b","g","e","b","k","k","w","w","p","w","t","p","w","n","g"
"7100","p","k","y","e","f","f","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","p"
"7101","p","x","y","c","f","m","a","c","b","y","e","c","k","y","c","c","p","w","n","n","w","c","d"
"7103","p","k","y","e","f","s","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","l"
"7104","e","b","s","w","f","n","f","w","b","p","e","b","s","k","w","w","p","w","t","p","w","s","g"
"7106","p","x","s","e","f","y","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","p"
"7108","p","f","s","e","f","y","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","p"
"7110","p","k","y","e","f","f","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","d"
"7114","p","k","s","n","f","f","f","c","n","b","t","b","s","k","w","p","p","w","o","e","w","v","p"
"7117","e","x","y","g","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","v","p"
"7118","p","f","s","n","f","y","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","d"
"7119","p","k","y","e","f","y","f","c","n","b","t","b","k","s","w","w","p","w","o","e","w","v","p"
"7120","e","k","f","w","f","n","f","w","b","w","e","b","k","k","w","w","p","w","t","p","w","n","g"
"7121","p","x","s","n","f","s","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","d"
"7123","p","x","s","e","f","s","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","d"
"7124","e","k","s","w","f","n","f","w","b","w","e","b","s","k","w","w","p","w","t","p","w","n","g"
"7125","p","f","y","n","f","s","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","p"
"7126","p","k","s","e","f","s","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","p"
"7127","p","k","s","e","f","y","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","p"
"7128","p","f","y","e","f","f","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","l"
"7131","p","k","y","e","f","y","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","d"
"7132","p","k","s","e","f","y","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","d"
"7133","p","k","s","e","f","f","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","l"
"7135","e","k","s","g","f","n","f","w","b","p","e","b","k","k","w","w","p","w","t","p","w","s","g"
"7138","p","k","s","e","f","y","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","d"
"7139","p","f","y","e","f","f","f","c","n","b","t","b","s","k","w","p","p","w","o","e","w","v","d"
"7141","p","k","s","n","f","y","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","p"
"7142","e","b","s","w","f","n","f","w","b","p","e","b","k","s","w","w","p","w","t","p","w","n","g"
"7143","p","f","s","n","f","s","f","c","n","b","t","b","s","s","p","p","p","w","o","e","w","v","d"
"7145","p","x","s","n","f","f","f","c","n","b","t","b","k","s","w","w","p","w","o","e","w","v","d"
"7146","p","x","y","e","f","f","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","l"
"7150","p","f","s","n","f","s","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","l"
"7151","p","f","y","e","f","f","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","p"
"7152","p","f","s","e","f","f","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","l"
"7153","p","x","s","e","f","s","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","d"
"7154","e","k","s","g","f","n","f","w","b","w","e","b","k","s","w","w","p","w","t","p","w","s","g"
"7155","p","x","s","e","f","y","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","p"
"7156","p","k","s","n","f","y","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","l"
"7158","p","x","s","n","f","y","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","p"
"7160","p","x","s","n","f","s","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","l"
"7161","p","f","s","e","f","s","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","d"
"7162","p","k","s","n","f","s","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","d"
"7164","p","x","s","n","f","y","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","p"
"7166","p","f","s","e","f","y","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","d"
"7167","p","f","y","n","f","m","f","c","b","y","e","c","k","y","c","c","p","w","n","n","w","c","d"
"7169","p","f","s","e","f","f","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","p"
"7170","p","k","s","n","f","f","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","l"
"7172","p","k","y","n","f","f","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","l"
"7174","e","b","s","n","f","n","a","c","b","y","e","b","s","s","o","o","p","o","o","p","y","c","l"
"7176","p","f","y","n","f","s","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","l"
"7177","e","x","s","n","f","n","a","c","b","n","e","b","s","s","o","o","p","n","o","p","b","c","l"
"7179","p","k","s","n","f","f","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","d"
"7180","p","k","s","n","f","s","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","p"
"7181","p","k","s","n","f","s","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","p"
"7182","e","f","y","c","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","y","p"
"7183","e","f","s","n","f","n","a","c","b","n","e","b","s","s","o","o","p","n","o","p","n","c","l"
"7184","e","b","s","w","f","n","f","w","b","g","e","b","k","k","w","w","p","w","t","p","w","n","g"
"7185","p","k","s","e","f","s","f","c","n","b","t","b","s","s","p","p","p","w","o","e","w","v","p"
"7187","p","k","y","e","f","y","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","p"
"7189","e","x","s","n","f","n","a","c","b","o","e","b","s","s","o","o","p","o","o","p","y","c","l"
"7190","p","x","s","e","f","y","f","c","n","b","t","b","k","s","w","w","p","w","o","e","w","v","p"
"7193","p","f","y","e","f","s","f","c","n","b","t","b","s","s","p","p","p","w","o","e","w","v","p"
"7194","p","x","y","e","f","s","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","p"
"7195","p","k","s","e","f","f","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","d"
"7197","p","f","s","e","f","f","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","d"
"7198","p","k","s","n","f","s","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","p"
"7200","p","f","s","e","f","f","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","d"
"7202","p","k","s","n","f","f","f","c","n","b","t","b","s","k","w","p","p","w","o","e","w","v","d"
"7204","p","k","s","e","f","y","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","l"
"7205","e","x","s","g","f","n","f","w","b","p","e","b","k","k","w","w","p","w","t","p","w","n","g"
"7206","e","k","s","n","f","n","a","c","b","y","e","b","s","s","o","o","p","o","o","p","y","c","l"
"7208","p","k","y","n","f","f","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","l"
"7209","e","k","f","g","f","n","f","w","b","g","e","b","k","k","w","w","p","w","t","p","w","n","g"
"7210","p","x","s","n","f","y","f","c","n","b","t","b","s","s","p","p","p","w","o","e","w","v","l"
"7212","e","x","f","w","f","n","f","w","b","g","e","b","k","s","w","w","p","w","t","p","w","n","g"
"7213","p","k","y","e","f","f","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","p"
"7214","p","k","s","e","f","f","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","l"
"7215","p","k","s","e","f","f","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","l"
"7218","e","k","s","g","f","n","f","w","b","g","e","b","k","k","w","w","p","w","t","p","w","n","g"
"7219","p","k","y","n","f","f","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","p"
"7220","p","k","s","e","f","f","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","l"
"7222","e","f","s","n","f","n","a","c","b","y","e","b","s","s","o","o","p","o","o","p","y","v","l"
"7224","p","x","s","e","f","s","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","p"
"7225","p","k","s","n","f","f","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","d"
"7230","e","k","s","w","f","n","f","w","b","w","e","b","k","k","w","w","p","w","t","p","w","n","g"
"7231","p","f","y","e","f","m","f","c","b","y","e","c","k","y","c","c","p","w","n","n","w","c","d"
"7233","p","f","y","n","f","y","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","p"
"7234","e","b","s","n","f","n","a","c","b","o","e","b","s","s","o","o","p","n","o","p","b","c","l"
"7235","e","b","s","g","f","n","f","w","b","w","e","b","k","s","w","w","p","w","t","p","w","n","g"
"7238","p","k","s","n","f","f","f","c","n","b","t","b","k","s","w","w","p","w","o","e","w","v","l"
"7239","p","k","y","n","f","y","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","p"
"7240","e","f","s","n","f","n","a","c","b","n","e","b","s","s","o","o","p","n","o","p","o","c","l"
"7241","p","k","s","e","f","y","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","p"
"7242","p","f","s","e","f","y","f","c","n","b","t","b","s","k","w","p","p","w","o","e","w","v","p"
"7244","p","k","s","n","f","s","f","c","n","b","t","b","s","k","w","p","p","w","o","e","w","v","l"
"7245","e","b","s","n","f","n","a","c","b","y","e","b","s","s","o","o","p","o","o","p","y","v","l"
"7246","e","k","f","g","f","n","f","w","b","w","e","b","k","k","w","w","p","w","t","p","w","s","g"
"7252","e","f","s","n","f","n","a","c","b","n","e","b","s","s","o","o","p","o","o","p","n","c","l"
"7253","p","k","s","e","f","y","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","d"
"7255","p","k","s","n","f","y","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","d"
"7257","p","k","y","e","f","f","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","d"
"7260","p","f","s","n","f","y","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","p"
"7262","p","k","y","n","f","f","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","p"
"7264","e","x","f","w","f","n","f","w","b","p","e","b","k","k","w","w","p","w","t","p","w","n","g"
"7265","p","k","y","n","f","s","f","c","n","b","t","b","k","s","w","w","p","w","o","e","w","v","l"
"7267","e","b","f","g","f","n","f","w","b","w","e","b","s","s","w","w","p","w","t","p","w","n","g"
"7274","e","k","s","g","f","n","f","w","b","g","e","b","s","s","w","w","p","w","t","p","w","n","g"
"7275","p","k","s","n","f","f","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","d"
"7276","p","k","y","n","f","y","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","l"
"7277","e","k","s","w","f","n","f","w","b","w","e","b","k","s","w","w","p","w","t","p","w","s","g"
"7278","p","k","y","e","f","y","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","l"
"7279","e","b","s","w","f","n","f","w","b","w","e","b","k","s","w","w","p","w","t","p","w","s","g"
"7280","p","k","s","n","f","y","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","d"
"7281","e","x","s","w","f","n","f","w","b","w","e","b","s","k","w","w","p","w","t","p","w","n","g"
"7282","e","b","s","n","f","n","a","c","b","n","e","b","s","s","o","o","p","o","o","p","n","v","l"
"7284","p","k","y","e","f","f","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","p"
"7285","e","x","f","w","f","n","f","w","b","w","e","b","s","s","w","w","p","w","t","p","w","n","g"
"7289","p","k","y","n","f","y","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","p"
"7293","e","f","y","n","f","n","f","c","b","w","e","b","y","y","n","n","p","w","t","p","w","y","d"
"7294","e","k","s","g","f","n","f","w","b","w","e","b","s","s","w","w","p","w","t","p","w","n","g"
"7295","p","f","y","e","f","y","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","l"
"7296","p","k","y","y","f","n","f","w","n","y","e","c","y","y","y","y","p","y","o","e","w","c","l"
"7297","p","k","y","e","f","y","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","p"
"7298","p","k","s","e","f","s","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","l"
"7299","p","k","y","e","f","s","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","l"
"7301","e","x","s","g","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","y","p"
"7302","e","k","s","g","f","n","f","w","b","p","e","b","k","s","w","w","p","w","t","p","w","n","g"
"7304","p","k","s","e","f","s","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","p"
"7305","p","k","y","e","f","s","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","l"
"7311","p","k","y","e","f","y","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","l"
"7312","e","x","f","w","f","n","f","w","b","g","e","b","s","s","w","w","p","w","t","p","w","s","g"
"7313","p","k","y","e","f","y","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","l"
"7314","p","k","y","n","f","s","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","p"
"7315","e","x","s","g","f","n","f","w","b","p","e","b","k","s","w","w","p","w","t","p","w","n","g"
"7316","e","x","s","w","f","n","f","w","b","g","e","b","s","k","w","w","p","w","t","p","w","n","g"
"7317","p","k","y","n","f","f","f","c","n","b","t","b","k","k","w","w","p","w","o","e","w","v","d"
"7318","p","k","s","n","f","f","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","l"
"7319","p","k","s","e","f","s","f","c","n","b","t","b","k","s","p","w","p","w","o","e","w","v","d"
"7320","e","b","f","w","f","n","f","w","b","p","e","b","k","k","w","w","p","w","t","p","w","n","g"
"7322","p","k","s","e","f","y","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","d"
"7325","p","k","y","n","f","f","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","l"
"7326","e","f","s","n","f","n","a","c","b","o","e","b","s","s","o","o","p","n","o","p","y","c","l"
"7327","p","x","y","e","f","f","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","d"
"7328","e","f","s","n","f","n","a","c","b","y","e","b","s","s","o","o","p","n","o","p","y","v","l"
"7330","e","b","s","g","f","n","f","w","b","p","e","b","s","s","w","w","p","w","t","p","w","n","g"
"7331","p","k","y","e","f","s","f","c","n","b","t","b","k","k","w","p","p","w","o","e","w","v","l"
"7333","p","k","s","e","f","f","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","p"
"7334","p","k","s","e","f","y","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","d"
"7337","p","f","y","e","f","m","f","c","b","w","e","c","k","y","c","c","p","w","n","n","w","c","d"
"7339","p","k","y","n","f","f","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","p"
"7341","p","x","s","n","f","s","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","d"
"7344","p","k","y","n","f","s","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","d"
"7347","e","b","f","g","f","n","f","w","b","p","e","b","s","s","w","w","p","w","t","p","w","s","g"
"7350","e","k","s","g","f","n","f","w","b","p","e","b","k","s","w","w","p","w","t","p","w","s","g"
"7351","e","x","s","g","f","n","f","w","b","p","e","b","s","s","w","w","p","w","t","p","w","s","g"
"7355","e","b","s","w","f","n","f","w","b","g","e","b","s","k","w","w","p","w","t","p","w","n","g"
"7356","p","f","y","n","f","s","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","l"
"7358","p","k","s","e","f","f","f","c","n","b","t","b","s","s","p","p","p","w","o","e","w","v","l"
"7359","e","k","f","g","f","n","f","w","b","p","e","b","s","s","w","w","p","w","t","p","w","n","g"
"7361","e","x","s","c","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","y","p"
"7364","p","k","y","e","f","y","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","p"
"7368","p","f","y","y","f","n","f","w","n","w","e","c","y","y","y","y","p","y","o","e","w","c","l"
"7369","p","x","y","c","f","m","a","c","b","w","e","c","k","y","c","c","p","w","n","n","w","c","d"
"7370","p","x","s","n","f","y","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","d"
"7372","p","k","y","n","f","s","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","p"
"7378","e","f","s","n","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","y","p"
"7379","e","k","s","g","f","n","f","w","b","g","e","b","s","s","w","w","p","w","t","p","w","s","g"
"7380","p","f","s","n","f","y","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","d"
"7381","p","k","s","n","f","f","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","d"
"7382","p","f","y","n","f","s","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","l"
"7385","p","k","s","e","f","y","f","c","n","b","t","b","k","s","w","w","p","w","o","e","w","v","p"
"7386","e","b","s","w","f","n","f","w","b","w","e","b","k","s","w","w","p","w","t","p","w","n","g"
"7388","p","k","y","e","f","y","f","c","n","b","t","b","s","s","w","p","p","w","o","e","w","v","d"
"7390","p","k","s","e","f","f","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","p"
"7391","e","b","s","w","f","n","f","w","b","w","e","b","k","k","w","w","p","w","t","p","w","s","g"
"7392","e","x","s","g","f","n","f","w","b","p","e","b","k","k","w","w","p","w","t","p","w","s","g"
"7393","p","k","s","n","f","s","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","l"
"7394","p","k","y","n","f","y","f","c","n","b","t","b","s","s","p","p","p","w","o","e","w","v","p"
"7395","p","k","s","n","f","f","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","d"
"7396","p","k","y","e","f","f","f","c","n","b","t","b","s","s","p","p","p","w","o","e","w","v","p"
"7398","p","k","y","n","f","y","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","p"
"7399","e","b","s","g","f","n","f","w","b","p","e","b","k","k","w","w","p","w","t","p","w","s","g"
"7400","p","k","y","e","f","y","f","c","n","b","t","b","s","k","p","p","p","w","o","e","w","v","p"
"7402","p","c","y","y","f","n","f","w","n","y","e","c","y","y","y","y","p","y","o","e","w","c","l"
"7403","p","x","s","n","f","s","f","c","n","b","t","b","s","k","w","p","p","w","o","e","w","v","p"
"7409","p","k","y","e","f","y","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","l"
"7410","p","k","y","e","f","f","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","l"
"7411","p","k","s","e","f","y","f","c","n","b","t","b","s","s","w","w","p","w","o","e","w","v","p"
"7413","e","k","s","n","f","n","a","c","b","n","e","b","s","s","o","o","p","o","o","p","n","c","l"
"7414","e","b","s","n","f","n","a","c","b","y","e","b","s","s","o","o","p","n","o","p","n","v","l"
"7416","e","x","s","g","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","v","p"
"7417","e","x","f","g","f","n","f","w","b","w","e","b","k","s","w","w","p","w","t","p","w","s","g"
"7418","p","k","s","n","f","s","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","l"
"7421","p","k","y","e","f","y","f","c","n","b","t","b","s","s","p","p","p","w","o","e","w","v","d"
"7422","p","k","y","n","f","s","f","c","n","b","t","b","s","s","p","w","p","w","o","e","w","v","d"
"7423","e","f","s","p","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","y","p"
"7424","p","k","y","n","f","f","f","c","n","b","t","b","k","s","w","p","p","w","o","e","w","v","d"
"7426","e","f","s","n","f","n","a","c","b","y","e","b","s","s","o","o","p","n","o","p","b","c","l"
"7427","p","k","y","e","f","f","f","c","n","b","t","b","k","k","p","w","p","w","o","e","w","v","l"
"7430","p","f","y","n","f","s","f","c","n","b","t","b","s","k","w","w","p","w","o","e","w","v","p"
"7431","p","k","s","e","f","f","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","p"
"7432","p","k","y","e","f","s","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","l"
"7433","e","x","s","n","f","n","a","c","b","n","e","b","s","s","o","o","p","o","o","p","o","c","l"
"7435","e","k","s","g","f","n","f","w","b","p","e","b","s","s","w","w","p","w","t","p","w","s","g"
